Time	RB	Sinr
0.5 	1 	25.5586
0.5 	2 	32.7527
0.5 	4 	31.2979
0.5 	5 	30.3314
0.5 	3 	29.2996
0.5 	0 	29.0929
0.501 	0 	25.0855
0.501 	1 	23.0735
0.501 	2 	24.7862
0.501 	3 	23.8762
0.501 	5 	23.7616
0.501 	4 	22.1217
0.502 	3 	22.7669
0.502 	0 	19.126
0.502 	1 	19.2349
0.502 	4 	18.7526
0.502 	5 	23.0672
0.502 	2 	21.8351
0.503 	0 	17.4124
0.503 	2 	16.7957
0.503 	4 	14.4992
0.503 	1 	17.2195
0.503 	3 	15.8278
0.503 	5 	15.3924
0.504 	3 	14.9789
0.504 	4 	11.4057
0.504 	1 	16.0179
0.504 	2 	14.5421
0.504 	5 	14.4851
0.504 	0 	16.4648
0.505 	1 	25.4964
0.505 	3 	29.2099
0.505 	4 	24.7248
0.505 	0 	29.1662
0.505 	2 	29.3548
0.505 	5 	28.5065
0.506 	0 	24.8151
0.506 	2 	24.826
0.506 	4 	21.2313
0.506 	5 	12.4487
0.506 	1 	13.6413
0.506 	3 	12.1118
0.507 	0 	8.50572
0.507 	3 	10.8853
0.507 	4 	10.9482
0.507 	1 	11.2581
0.507 	2 	11.3124
0.507 	5 	11.6452
0.508 	3 	22.2888
0.508 	0 	15.7806
0.508 	4 	22.2288
0.508 	5 	23.184
0.508 	2 	21.5356
0.508 	1 	15.5469
0.509 	3 	24.9759
0.509 	2 	31.3542
0.509 	4 	31.2295
0.509 	5 	30.4513
0.509 	1 	18.7
0.509 	0 	16.3202
0.51 	2 	24.743
0.51 	1 	18.2084
0.51 	3 	13.9319
0.51 	4 	15.5459
0.51 	5 	15.9464
0.51 	0 	12.4998
0.511 	0 	17.7869
0.511 	2 	17.7025
0.511 	4 	15.4129
0.511 	3 	14.6544
0.511 	5 	11.4057
0.511 	1 	23.5564
0.512 	3 	21.8678
0.512 	0 	16.3331
0.512 	4 	16.728
0.512 	5 	15.3816
0.512 	2 	11.568
0.512 	1 	16.4849
0.513 	3 	25.0154
0.513 	2 	21.1204
0.513 	1 	14.713
0.513 	4 	15.7881
0.513 	5 	15.8487
0.513 	0 	29.1021
0.514 	2 	24.5618
0.514 	3 	22.9001
0.514 	1 	18.1693
0.514 	5 	19.6328
0.514 	4 	23.5813
0.514 	0 	16.0282
0.515 	1 	24.9592
0.515 	2 	24.5181
0.515 	3 	25.7072
0.515 	4 	25.9191
0.515 	0 	12.7506
0.515 	5 	11.8115
0.516 	3 	10.2162
0.516 	4 	9.9174
0.516 	0 	11.655
0.516 	1 	11.7812
0.516 	2 	12.5783
0.516 	5 	12.498
0.517 	4 	30.9988
0.517 	1 	12.336
0.517 	0 	27.5292
0.517 	2 	27.7924
0.517 	3 	28.4116
0.517 	5 	26.8131
0.518 	2 	19.862
0.518 	3 	21.0459
0.518 	4 	24.1712
0.518 	1 	16.5673
0.518 	5 	15.8528
0.518 	0 	28.9466
0.519 	0 	24.8099
0.519 	1 	24.7443
0.519 	3 	24.932
0.519 	4 	23.5255
0.519 	2 	20.3795
0.519 	5 	17.1525
0.52 	4 	15.9497
0.52 	0 	14.6641
0.52 	2 	12.7001
0.52 	3 	13.8003
0.52 	1 	18.9296
0.52 	5 	16.3948
0.521 	2 	24.0902
0.521 	1 	17.156
0.521 	5 	20.0312
0.521 	3 	15.528
0.521 	0 	15.3364
0.521 	4 	10.0668
0.522 	0 	30.7787
0.522 	2 	26.2821
0.522 	1 	11.3419
0.522 	3 	12.1164
0.522 	4 	11.446
0.522 	5 	13.7579
0.523 	0 	12.9806
0.523 	1 	11.4038
0.523 	3 	14.7305
0.523 	4 	15.9618
0.523 	5 	15.7493
0.523 	2 	31.5862
0.524 	2 	8.67258
0.524 	3 	9.33206
0.524 	0 	19.431
0.524 	1 	19.2848
0.524 	4 	24.7535
0.524 	5 	23.0914
0.525 	0 	17.6665
0.525 	1 	25.4629
0.525 	2 	23.5535
0.525 	3 	26.1072
0.525 	4 	27.2948
0.525 	5 	16.1893
0.526 	0 	16.7081
0.526 	1 	16.0436
0.526 	2 	18.9975
0.526 	3 	19.441
0.526 	4 	16.4045
0.526 	5 	17.3873
0.527 	3 	23.4945
0.527 	0 	17.4773
0.527 	1 	15.9228
0.527 	2 	18.7921
0.527 	4 	16.7899
0.527 	5 	13.0316
0.528 	1 	19.0802
0.528 	4 	15.8229
0.528 	2 	29.6634
0.528 	3 	26.6799
0.528 	5 	28.1541
0.528 	0 	14.2064
0.529 	0 	15.4155
0.529 	1 	15.4128
0.529 	4 	15.4081
0.529 	5 	20.2875
0.529 	2 	31.8916
0.529 	3 	26.6837
0.53 	2 	18.5272
0.53 	0 	25.063
0.53 	1 	23.3281
0.53 	3 	24.3026
0.53 	4 	25.5326
0.53 	5 	28.8394
0.531 	0 	12.9978
0.531 	3 	10.3337
0.531 	1 	16.0308
0.531 	5 	16.3247
0.531 	4 	15.6743
0.531 	2 	13.262
0.532 	2 	22.7369
0.532 	3 	23.4548
0.532 	4 	11.6232
0.532 	5 	14.5834
0.532 	1 	9.21289
0.532 	0 	13.2645
0.533 	0 	15.6189
0.533 	1 	16.4694
0.533 	4 	25.1305
0.533 	5 	22.7393
0.533 	2 	16.7596
0.533 	3 	18.1873
0.534 	2 	18.5173
0.534 	0 	30.9923
0.534 	3 	29.3113
0.534 	4 	30.0631
0.534 	5 	28.097
0.534 	1 	18.9739
0.535 	1 	25.4665
0.535 	2 	21.5078
0.535 	3 	25.9453
0.535 	4 	27.8861
0.535 	0 	14.3455
0.535 	5 	13.1531
0.536 	1 	9.84542
0.536 	0 	28.5033
