Time	RB	Sinr
0.5 	0 	17.2382
0.5 	1 	15.7228
0.5 	2 	15.3598
0.5 	3 	5.20081
0.5 	4 	9.99617
0.5 	5 	15.0333
0.501 	0 	16.8595
0.501 	1 	15.6224
0.501 	2 	15.4821
0.501 	3 	4.56795
0.501 	4 	9.32127
0.501 	5 	14.8049
0.502 	1 	15.5138
0.502 	2 	15.5963
0.502 	3 	3.8025
0.502 	4 	8.5217
0.502 	5 	14.5577
0.502 	0 	16.4446
0.503 	1 	15.3968
0.503 	2 	15.7028
0.503 	3 	2.84131
0.503 	4 	7.54217
0.503 	5 	14.2893
0.503 	0 	15.9864
0.504 	0 	15.4754
0.504 	1 	15.2707
0.504 	2 	15.8019
0.504 	3 	1.5621
0.504 	4 	6.27892
0.504 	5 	13.9965
0.505 	0 	14.8981
0.505 	1 	15.1351
0.505 	2 	15.894
0.505 	3 	-0.326903
0.505 	4 	4.49844
0.505 	5 	13.6758
0.506 	0 	14.2353
0.506 	1 	14.9893
0.506 	2 	15.9793
0.506 	3 	-3.90211
0.506 	4 	1.45139
0.506 	5 	13.3223
0.507 	0 	13.4574
0.507 	1 	14.8327
0.507 	2 	16.058
0.507 	4 	-18.3301
0.507 	5 	12.9298
0.508 	0 	12.5158
0.508 	1 	14.6643
0.508 	2 	16.1303
0.508 	5 	12.4904
0.509 	0 	11.3221
0.509 	1 	14.4833
0.509 	2 	16.1965
0.509 	3 	0.955072
0.509 	4 	4.47647
0.509 	5 	11.9928
0.51 	0 	9.68773
0.51 	1 	14.2885
0.51 	2 	16.2565
0.51 	3 	2.62096
0.51 	4 	6.20812
0.51 	5 	11.4213
0.511 	0 	7.07102
0.511 	1 	14.0786
0.511 	2 	16.3107
0.511 	3 	3.8509
0.511 	4 	7.43001
0.511 	5 	10.7527
0.512 	0 	-0.325947
0.512 	1 	13.8521
0.512 	2 	16.3591
0.512 	3 	4.83142
0.512 	4 	8.37111
0.512 	5 	9.95038
0.513 	0 	5.0381
0.513 	1 	13.6071
0.513 	2 	16.4017
0.513 	3 	5.65013
0.513 	4 	9.13367
0.513 	5 	8.95148
0.514 	0 	8.60635
0.514 	1 	13.3414
0.514 	2 	16.4387
0.514 	3 	6.35518
0.514 	4 	9.77226
0.514 	5 	7.63433
0.515 	0 	10.5165
0.515 	1 	13.0523
0.515 	2 	16.4702
0.515 	3 	6.97588
0.515 	4 	10.3195
0.515 	5 	5.70913
0.516 	0 	11.8212
0.516 	1 	12.7364
0.516 	2 	16.4961
0.516 	3 	7.53146
0.516 	4 	10.7965
0.516 	5 	2.11143
0.517 	0 	12.8085
0.517 	1 	12.3894
0.517 	2 	16.5165
0.517 	3 	8.03513
0.517 	4 	11.2175
0.517 	5 	-3.10308
0.518 	0 	13.5995
0.518 	1 	12.0059
0.518 	2 	16.5315
0.518 	3 	8.49642
0.518 	4 	11.5928
0.519 	0 	14.2567
0.519 	1 	11.5788
0.519 	2 	16.541
0.519 	3 	8.9224
0.519 	4 	11.93
0.519 	5 	6.78389
0.52 	0 	14.8166
0.52 	1 	11.0984
0.52 	2 	16.5449
0.52 	3 	9.31846
0.52 	4 	12.2348
0.52 	5 	8.4064
0.521 	0 	15.3023
0.521 	1 	10.5514
0.521 	2 	16.5434
0.521 	3 	9.6888
0.521 	4 	12.5116
0.521 	5 	9.59017
0.522 	0 	15.7296
0.522 	1 	9.91845
0.522 	2 	16.5363
0.522 	3 	10.0368
0.522 	4 	12.764
0.522 	5 	10.5229
0.523 	0 	16.1096
0.523 	1 	9.16988
0.523 	2 	16.5236
0.523 	3 	10.3651
0.523 	4 	12.9948
0.523 	5 	11.2927
0.524 	0 	16.4502
0.524 	1 	8.25701
0.524 	2 	16.5052
0.524 	3 	10.6759
0.524 	4 	13.2062
0.524 	5 	11.9478
0.525 	0 	16.7577
0.525 	1 	7.0911
0.525 	2 	16.481
0.525 	3 	10.9712
0.525 	4 	13.4003
0.525 	5 	12.5177
0.526 	0 	17.0368
0.526 	1 	5.48232
0.526 	2 	16.4509
0.526 	3 	11.2523
0.526 	4 	13.5785
0.526 	5 	13.0216
0.527 	3 	11.5206
0.527 	4 	13.7423
0.527 	0 	17.2911
